"","fips","date","county","state","cases","deaths","date.y","cases.y","deaths.y","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","gdp_pc","population","rep_voteshare"
"1",1001,"2021-01-25","Autauga","Alabama",5407,62,"2021-07-25",7419,113,0.053,0.074,0.134,0.295,0.444,"46814","56145",0.714368023046453
"2",1003,"2021-01-25","Baldwin","Alabama",17333,189,"2021-07-25",23810,325,0.083,0.059,0.098,0.323,0.436,"50953","229287",0.761713728243328
"3",1005,"2021-01-25","Barbour","Alabama",1834,38,"2021-07-25",2434,61,0.067,0.121,0.12,0.201,0.491,"37850","24589",0.534512264689104
"4",1007,"2021-01-25","Bibb","Alabama",2229,48,"2021-07-25",2801,65,0.02,0.034,0.096,0.278,0.572,"34300","22136",0.784262636789995
"5",1009,"2021-01-25","Blount","Alabama",5485,86,"2021-07-25",7184,139,0.053,0.114,0.18,0.194,0.459,"38808","57879",0.895715528490648
"6",1011,"2021-01-25","Bullock","Alabama",1046,28,"2021-07-25",1256,42,0.031,0.04,0.144,0.286,0.5,"31944","9976",0.248428354649902
"7",1013,"2021-01-25","Butler","Alabama",1748,60,"2021-07-25",2361,72,0.102,0.053,0.257,0.137,0.451,"39988","19504",0.575252951096121
"8",1015,"2021-01-25","Calhoun","Alabama",11555,206,"2021-07-25",15130,332,0.152,0.108,0.13,0.167,0.442,"40195","113469",0.688484396759704
"9",1017,"2021-01-25","Chambers","Alabama",3054,70,"2021-07-25",3852,125,0.117,0.037,0.15,0.136,0.56,"38508","32865",0.572690395184507
"10",1019,"2021-01-25","Cherokee","Alabama",1660,31,"2021-07-25",1939,48,0.135,0.027,0.161,0.158,0.52,"37869","26294",0.860336558003414
"11",1021,"2021-01-25","Chilton","Alabama",3468,73,"2021-07-25",4645,117,0.06,0.07,0.058,0.194,0.618,"38778","44397",0.832988089073019
"12",1023,"2021-01-25","Choctaw","Alabama",521,24,"2021-07-25",638,25,0.049,0.038,0.126,0.219,0.568,"42231","12418",0.57556270096463
"13",1025,"2021-01-25","Clarke","Alabama",3033,36,"2021-07-25",3644,62,0.049,0.088,0.164,0.268,0.43,"40822","23291",0.557594213932242
"14",1027,"2021-01-25","Clay","Alabama",1307,46,"2021-07-25",1625,59,0.148,0.158,0.195,0.169,0.329,"37179","13112",0.808225108225108
"15",1029,"2021-01-25","Cleburne","Alabama",1221,25,"2021-07-25",1591,45,0.151,0.125,0.138,0.217,0.368,"37734","14967",0.897191088971911
"16",1031,"2021-01-25","Coffee","Alabama",4669,64,"2021-07-25",6045,131,0.101,0.152,0.094,0.186,0.466,"45262","53230",0.758653198653199
"17",1033,"2021-01-25","Colbert","Alabama",5581,94,"2021-07-25",6583,142,0.082,0.096,0.152,0.159,0.51,"41941","55411",0.688625116545937
"18",1035,"2021-01-25","Conecuh","Alabama",980,22,"2021-07-25",1181,30,0.099,0.052,0.259,0.192,0.399,"36908","11851",0.534389070020183
"19",1037,"2021-01-25","Coosa","Alabama",640,18,"2021-07-25",1160,29,0.055,0.131,0.167,0.263,0.384,"34683","10650",0.662712173754335
"20",1039,"2021-01-25","Covington","Alabama",3408,80,"2021-07-25",4579,125,0.187,0.128,0.129,0.201,0.356,"37930","36930",0.836833046471601
"21",1041,"2021-01-25","Crenshaw","Alabama",1248,45,"2021-07-25",1644,58,0.06,0.091,0.199,0.233,0.416,"38161","13681",0.735076318573372
"22",1043,"2021-01-25","Cullman","Alabama",8296,124,"2021-07-25",10257,204,0.13,0.024,0.249,0.217,0.379,"42659","84515",0.881221476189338
"23",1045,"2021-01-25","Dale","Alabama",4127,85,"2021-07-25",5326,117,0.089,0.113,0.118,0.22,0.46,"40111","48959",0.724642820954504
"24",1047,"2021-01-25","Dallas","Alabama",3136,96,"2021-07-25",3688,163,0.095,0.1,0.159,0.122,0.524,"41195","36098",0.30922525750112
"25",1049,"2021-01-25","DeKalb","Alabama",7900,107,"2021-07-25",9298,191,0.084,0.051,0.106,0.179,0.58,"35100","71658",0.843677612753781
"26",1051,"2021-01-25","Elmore","Alabama",8243,110,"2021-07-25",10654,217,0.042,0.095,0.127,0.252,0.485,"47270","82158",0.735169388252498
"27",1053,"2021-01-25","Escambia","Alabama",3392,44,"2021-07-25",4200,82,0.114,0.026,0.188,0.285,0.387,"37137","36281",0.683155248271527
"28",1055,"2021-01-25","Etowah","Alabama",12141,181,"2021-07-25",14662,368,0.096,0.103,0.178,0.122,0.501,"39852","102371",0.744384847468991
