"","date","county","state","fips","cases","deaths","date.y","cases.y","deaths.y"
"1","2021-01-25","Autauga","Alabama",1001,5407,62,"2022-01-25",13251,163
"2","2021-01-25","Baldwin","Alabama",1003,17333,189,"2022-01-25",50313,608
"3","2021-01-25","Barbour","Alabama",1005,1834,38,"2022-01-25",5054,83
"4","2021-01-25","Bibb","Alabama",1007,2229,48,"2022-01-25",5795,95
"5","2021-01-25","Blount","Alabama",1009,5485,86,"2022-01-25",13427,204
"6","2021-01-25","Bullock","Alabama",1011,1046,28,"2022-01-25",2149,46
"7","2021-01-25","Butler","Alabama",1013,1748,60,"2022-01-25",4519,106
"8","2021-01-25","Calhoun","Alabama",1015,11555,206,"2022-01-25",28519,544
"9","2021-01-25","Chambers","Alabama",1017,3054,70,"2022-01-25",7882,147
"10","2021-01-25","Cherokee","Alabama",1019,1660,31,"2022-01-25",4529,67
"11","2021-01-25","Chilton","Alabama",1021,3468,73,"2022-01-25",9409,179
"12","2021-01-25","Choctaw","Alabama",1023,521,24,"2022-01-25",1603,31
"13","2021-01-25","Clarke","Alabama",1025,3033,36,"2022-01-25",6415,89
"14","2021-01-25","Clay","Alabama",1027,1307,46,"2022-01-25",3620,71
"15","2021-01-25","Cleburne","Alabama",1029,1221,25,"2022-01-25",3126,62
"16","2021-01-25","Coffee","Alabama",1031,4669,64,"2022-01-25",12194,201
"17","2021-01-25","Colbert","Alabama",1033,5581,94,"2022-01-25",14225,217
"18","2021-01-25","Conecuh","Alabama",1035,980,22,"2022-01-25",2612,63
"19","2021-01-25","Coosa","Alabama",1037,640,18,"2022-01-25",2601,49
"20","2021-01-25","Covington","Alabama",1039,3408,80,"2022-01-25",8579,203
"21","2021-01-25","Crenshaw","Alabama",1041,1248,45,"2022-01-25",3383,81
"22","2021-01-25","Cullman","Alabama",1043,8296,124,"2022-01-25",21540,319
"23","2021-01-25","Dale","Alabama",1045,4127,85,"2022-01-25",11374,200
"24","2021-01-25","Dallas","Alabama",1047,3136,96,"2022-01-25",7314,218
"25","2021-01-25","DeKalb","Alabama",1049,7900,107,"2022-01-25",16720,287
"26","2021-01-25","Elmore","Alabama",1051,8243,110,"2022-01-25",20438,302
"27","2021-01-25","Escambia","Alabama",1053,3392,44,"2022-01-25",9199,151
"28","2021-01-25","Etowah","Alabama",1055,12141,181,"2022-01-25",25674,534
"29","2021-01-25","Fayette","Alabama",1057,1788,29,"2022-01-25",4161,86
"30","2021-01-25","Franklin","Alabama",1059,3775,50,"2022-01-25",8565,116
"31","2021-01-25","Geneva","Alabama",1061,2130,47,"2022-01-25",5552,141
"32","2021-01-25","Greene","Alabama",1063,779,23,"2022-01-25",1665,47
"33","2021-01-25","Hale","Alabama",1065,1861,44,"2022-01-25",4226,94
"34","2021-01-25","Henry","Alabama",1067,1600,25,"2022-01-25",4016,67
"35","2021-01-25","Houston","Alabama",1069,9031,164,"2022-01-25",22588,444
"36","2021-01-25","Jackson","Alabama",1071,6032,45,"2022-01-25",13095,207
"37","2021-01-25","Jefferson","Alabama",1073,64910,1007,"2022-01-25",166471,2041
"38","2021-01-25","Lamar","Alabama",1075,1206,22,"2022-01-25",3222,60
"39","2021-01-25","Lauderdale","Alabama",1077,7946,107,"2022-01-25",21126,329
"40","2021-01-25","Lawrence","Alabama",1079,2558,55,"2022-01-25",6648,140
"41","2021-01-25","Lee","Alabama",1081,13261,107,"2022-01-25",34631,275
"42","2021-01-25","Limestone","Alabama",1083,8381,81,"2022-01-25",22071,236
"43","2021-01-25","Lowndes","Alabama",1085,1168,36,"2022-01-25",2375,68
"44","2021-01-25","Macon","Alabama",1087,1228,37,"2022-01-25",3466,69
"45","2021-01-25","Madison","Alabama",1089,28413,217,"2022-01-25",77389,795
"46","2021-01-25","Marengo","Alabama",1091,2105,31,"2022-01-25",4372,93
"47","2021-01-25","Marion","Alabama",1093,2546,61,"2022-01-25",7124,134
"48","2021-01-25","Marshall","Alabama",1095,10487,123,"2022-01-25",24157,335
"49","2021-01-25","Mobile","Alabama",1097,31746,574,"2022-01-25",103122,1428
"50","2021-01-25","Monroe","Alabama",1099,1526,21,"2022-01-25",4721,67
"51","2021-01-25","Montgomery","Alabama",1101,20088,332,"2022-01-25",48723,808
"52","2021-01-25","Morgan","Alabama",1103,12678,142,"2022-01-25",31769,438
"53","2021-01-25","Perry","Alabama",1105,1005,18,"2022-01-25",1843,40
"54","2021-01-25","Pickens","Alabama",1107,2004,31,"2022-01-25",4711,92
"55","2021-01-25","Pike","Alabama",1109,2652,31,"2022-01-25",6630,115
"56","2021-01-25","Randolph","Alabama",1111,1466,36,"2022-01-25",4636,69
"57","2021-01-25","Russell","Alabama",1113,3584,15,"2022-01-25",9057,69
"58","2021-01-25","Shelby","Alabama",1117,19452,132,"2022-01-25",53229,394
"59","2021-01-25","St. Clair","Alabama",1115,7876,130,"2022-01-25",22910,372
"60","2021-01-25","Sumter","Alabama",1119,906,27,"2022-01-25",2117,42
"61","2021-01-25","Talladega","Alabama",1121,6523,112,"2022-01-25",19534,316
"62","2021-01-25","Tallapoosa","Alabama",1123,3163,109,"2022-01-25",10289,209
"63","2021-01-25","Tuscaloosa","Alabama",1125,21566,275,"2022-01-25",49533,674
"64","2021-01-25","Walker","Alabama",1127,6050,183,"2022-01-25",15805,392
"65","2021-01-25","Washington","Alabama",1129,1427,27,"2022-01-25",3303,52
"66","2021-01-25","Wilcox","Alabama",1131,1083,22,"2022-01-25",2510,38
"67","2021-01-25","Winston","Alabama",1133,2347,42,"2022-01-25",6323,114
"68","2021-01-25","Aleutians East Borough","Alaska",2013,70,0,"2022-01-25",592,3
"69","2021-01-25","Aleutians West Census Area","Alaska",2016,292,0,"2022-01-25",1487,1
"70","2021-01-25","Anchorage","Alaska",2020,25012,139,"2022-01-25",86108,452
"71","2021-01-25","Bethel Census Area","Alaska",2050,3186,14,"2022-01-25",7715,37
"72","2021-01-25","Bristol Bay plus Lake and Peninsula","Alaska",2997,168,0,"2022-01-25",658,1
"73","2021-01-25","Denali Borough","Alaska",2068,66,0,"2022-01-25",332,1
"74","2021-01-25","Dillingham Census Area","Alaska",2070,163,1,"2022-01-25",1147,11
"75","2021-01-25","Fairbanks North Star Borough","Alaska",2090,5752,25,"2022-01-25",22368,123
"76","2021-01-25","Haines Borough","Alaska",2100,21,0,"2022-01-25",360,1
"77","2021-01-25","Juneau City and Borough","Alaska",2110,1108,3,"2022-01-25",6541,16
"78","2021-01-25","Kenai Peninsula Borough","Alaska",2122,3854,18,"2022-01-25",13974,88
"79","2021-01-25","Ketchikan Gateway Borough","Alaska",2130,269,1,"2022-01-25",3031,15
"80","2021-01-25","Kodiak Island Borough","Alaska",2150,1019,5,"2022-01-25",4049,10
"81","2021-01-25","Kusilvak Census Area","Alaska",2158,1082,3,"2022-01-25",3008,9
"82","2021-01-25","Matanuska-Susitna Borough","Alaska",2170,7334,27,"2022-01-25",28816,195
"83","2021-01-25","Nome Census Area","Alaska",2180,305,0,"2022-01-25",3314,3
"84","2021-01-25","North Slope Borough","Alaska",2185,969,3,"2022-01-25",3403,10
"85","2021-01-25","Northwest Arctic Borough","Alaska",2188,566,0,"2022-01-25",3081,11
"86","2021-01-25","Petersburg Borough","Alaska",2195,43,0,"2022-01-25",588,2
"87","2021-01-25","Prince of Wales-Hyder Census Area","Alaska",2198,69,1,"2022-01-25",943,6
"88","2021-01-25","Sitka City and Borough","Alaska",2220,292,0,"2022-01-25",1800,5
"89","2021-01-25","Skagway Municipality","Alaska",2230,15,0,"2022-01-25",101,0
"90","2021-01-25","Southeast Fairbanks Census Area","Alaska",2240,420,3,"2022-01-25",1615,16
"91","2021-01-25","Unknown","Alaska",NA,233,0,"2022-01-25",671,1
"92","2021-01-25","Valdez-Cordova Census Area","Alaska",2261,406,2,"2022-01-25",2278,15
"93","2021-01-25","Wrangell City and Borough","Alaska",2275,24,0,"2022-01-25",369,1
"94","2021-01-25","Yakutat plus Hoonah-Angoon","Alaska",2998,62,1,"2022-01-25",400,5
"95","2021-01-25","Yukon-Koyukuk Census Area","Alaska",2290,261,4,"2022-01-25",1016,8
"96","2021-01-25","Apache","Arizona",4001,9229,293,"2022-01-25",19346,561
"97","2021-01-25","Cochise","Arizona",4003,10216,208,"2022-01-25",26364,495
"98","2021-01-25","Coconino","Arizona",4005,14844,261,"2022-01-25",38323,433
