"","date","county","state","fips","cases","deaths","date.y","cases.y","deaths.y"
"1","2021-01-25","Autauga","Alabama",1001,5407,62,"2021-07-25",7419,113
"2","2021-01-25","Baldwin","Alabama",1003,17333,189,"2021-07-25",23810,325
"3","2021-01-25","Barbour","Alabama",1005,1834,38,"2021-07-25",2434,61
"4","2021-01-25","Bibb","Alabama",1007,2229,48,"2021-07-25",2801,65
"5","2021-01-25","Blount","Alabama",1009,5485,86,"2021-07-25",7184,139
"6","2021-01-25","Bullock","Alabama",1011,1046,28,"2021-07-25",1256,42
"7","2021-01-25","Butler","Alabama",1013,1748,60,"2021-07-25",2361,72
"8","2021-01-25","Calhoun","Alabama",1015,11555,206,"2021-07-25",15130,332
"9","2021-01-25","Chambers","Alabama",1017,3054,70,"2021-07-25",3852,125
"10","2021-01-25","Cherokee","Alabama",1019,1660,31,"2021-07-25",1939,48
"11","2021-01-25","Chilton","Alabama",1021,3468,73,"2021-07-25",4645,117
"12","2021-01-25","Choctaw","Alabama",1023,521,24,"2021-07-25",638,25
"13","2021-01-25","Clarke","Alabama",1025,3033,36,"2021-07-25",3644,62
"14","2021-01-25","Clay","Alabama",1027,1307,46,"2021-07-25",1625,59
"15","2021-01-25","Cleburne","Alabama",1029,1221,25,"2021-07-25",1591,45
"16","2021-01-25","Coffee","Alabama",1031,4669,64,"2021-07-25",6045,131
"17","2021-01-25","Colbert","Alabama",1033,5581,94,"2021-07-25",6583,142
"18","2021-01-25","Conecuh","Alabama",1035,980,22,"2021-07-25",1181,30
"19","2021-01-25","Coosa","Alabama",1037,640,18,"2021-07-25",1160,29
"20","2021-01-25","Covington","Alabama",1039,3408,80,"2021-07-25",4579,125
"21","2021-01-25","Crenshaw","Alabama",1041,1248,45,"2021-07-25",1644,58
"22","2021-01-25","Cullman","Alabama",1043,8296,124,"2021-07-25",10257,204
"23","2021-01-25","Dale","Alabama",1045,4127,85,"2021-07-25",5326,117
"24","2021-01-25","Dallas","Alabama",1047,3136,96,"2021-07-25",3688,163
"25","2021-01-25","DeKalb","Alabama",1049,7900,107,"2021-07-25",9298,191
"26","2021-01-25","Elmore","Alabama",1051,8243,110,"2021-07-25",10654,217
"27","2021-01-25","Escambia","Alabama",1053,3392,44,"2021-07-25",4200,82
"28","2021-01-25","Etowah","Alabama",1055,12141,181,"2021-07-25",14662,368
"29","2021-01-25","Fayette","Alabama",1057,1788,29,"2021-07-25",2245,64
"30","2021-01-25","Franklin","Alabama",1059,3775,50,"2021-07-25",4443,81
"31","2021-01-25","Geneva","Alabama",1061,2130,47,"2021-07-25",2715,83
"32","2021-01-25","Greene","Alabama",1063,779,23,"2021-07-25",978,36
"33","2021-01-25","Hale","Alabama",1065,1861,44,"2021-07-25",2318,78
"34","2021-01-25","Henry","Alabama",1067,1600,25,"2021-07-25",2051,45
