"","STATE","COUNTY","STNAME","CTYNAME","POPESTIMATE2021","fips"
"1",1,"000","Alabama","Alabama",5039877,1000
"2",1,"001","Alabama","Autauga County",59095,1001
"3",1,"003","Alabama","Baldwin County",239294,1003
"4",1,"005","Alabama","Barbour County",24964,1005
"5",1,"007","Alabama","Bibb County",22477,1007
"6",1,"009","Alabama","Blount County",59041,1009
"7",1,"011","Alabama","Bullock County",10320,1011
"8",1,"013","Alabama","Butler County",18884,1013
"9",1,"015","Alabama","Calhoun County",115972,1015
"10",1,"017","Alabama","Chambers County",34541,1017
"11",1,"019","Alabama","Cherokee County",24996,1019
"12",1,"021","Alabama","Chilton County",45274,1021
"13",1,"023","Alabama","Choctaw County",12533,1023
"14",1,"025","Alabama","Clarke County",22760,1025
"15",1,"027","Alabama","Clay County",14190,1027
"16",1,"029","Alabama","Cleburne County",15103,1029
"17",1,"031","Alabama","Coffee County",54174,1031
"18",1,"033","Alabama","Colbert County",57474,1033
"19",1,"035","Alabama","Conecuh County",11328,1035
"20",1,"037","Alabama","Coosa County",10450,1037
"21",1,"039","Alabama","Covington County",37524,1039
"22",1,"041","Alabama","Crenshaw County",13083,1041
"23",1,"043","Alabama","Cullman County",89496,1043
"24",1,"045","Alabama","Dale County",49342,1045
"25",1,"047","Alabama","Dallas County",37619,1047
"26",1,"049","Alabama","DeKalb County",71813,1049
"27",1,"051","Alabama","Elmore County",89304,1051
"28",1,"053","Alabama","Escambia County",36699,1053
"29",1,"055","Alabama","Etowah County",103162,1055
"30",1,"057","Alabama","Fayette County",16148,1057
"31",1,"059","Alabama","Franklin County",32013,1059
"32",1,"061","Alabama","Geneva County",26701,1061
"33",1,"063","Alabama","Greene County",7629,1063
"34",1,"065","Alabama","Hale County",14754,1065
"35",1,"067","Alabama","Henry County",17459,1067
"36",1,"069","Alabama","Houston County",107458,1069
"37",1,"071","Alabama","Jackson County",52773,1071
"38",1,"073","Alabama","Jefferson County",667820,1073
"39",1,"075","Alabama","Lamar County",13689,1075
"40",1,"077","Alabama","Lauderdale County",94043,1077
"41",1,"079","Alabama","Lawrence County",33090,1079
"42",1,"081","Alabama","Lee County",177218,1081
"43",1,"083","Alabama","Limestone County",107517,1083
"44",1,"085","Alabama","Lowndes County",9965,1085
"45",1,"087","Alabama","Macon County",18895,1087
"46",1,"089","Alabama","Madison County",395211,1089
"47",1,"091","Alabama","Marengo County",18996,1091
"48",1,"093","Alabama","Marion County",29246,1093
"49",1,"095","Alabama","Marshall County",98228,1095
"50",1,"097","Alabama","Mobile County",413073,1097
"51",1,"099","Alabama","Monroe County",19648,1099
"52",1,"101","Alabama","Montgomery County",227434,1101
"53",1,"103","Alabama","Morgan County",123668,1103
"54",1,"105","Alabama","Perry County",8355,1105
"55",1,"107","Alabama","Pickens County",18801,1107
"56",1,"109","Alabama","Pike County",32991,1109
"57",1,"111","Alabama","Randolph County",21989,1111
"58",1,"113","Alabama","Russell County",58722,1113
"59",1,"115","Alabama","St. Clair County",92748,1115
"60",1,"117","Alabama","Shelby County",226902,1117
"61",1,"119","Alabama","Sumter County",12164,1119
"62",1,"121","Alabama","Talladega County",81524,1121
"63",1,"123","Alabama","Tallapoosa County",41023,1123
"64",1,"125","Alabama","Tuscaloosa County",227007,1125
"65",1,"127","Alabama","Walker County",64818,1127
"66",1,"129","Alabama","Washington County",15147,1129
"67",1,"131","Alabama","Wilcox County",10446,1131
"68",1,"133","Alabama","Winston County",23652,1133
"69",2,"000","Alaska","Alaska",732673,2000
"70",2,"013","Alaska","Aleutians East Borough",3398,2013
"71",2,"016","Alaska","Aleutians West Census Area",5059,2016
"72",2,"020","Alaska","Anchorage Municipality",288121,2020
"73",2,"050","Alaska","Bethel Census Area",18557,2050
"74",2,"060","Alaska","Bristol Bay Borough",838,2060
"75",2,"063","Alaska","Chugach Census Area",6941,2063
"76",2,"066","Alaska","Copper River Census Area",2630,2066
"77",2,"068","Alaska","Denali Borough",1593,2068
"78",2,"070","Alaska","Dillingham Census Area",4772,2070
"79",2,"090","Alaska","Fairbanks North Star Borough",95593,2090
"80",2,"100","Alaska","Haines Borough",2071,2100
"81",2,"105","Alaska","Hoonah-Angoon Census Area",2332,2105
"82",2,"110","Alaska","Juneau City and Borough",31973,2110
"83",2,"122","Alaska","Kenai Peninsula Borough",59767,2122
"84",2,"130","Alaska","Ketchikan Gateway Borough",13754,2130
"85",2,"150","Alaska","Kodiak Island Borough",12787,2150
"86",2,"158","Alaska","Kusilvak Census Area",8360,2158
"87",2,"164","Alaska","Lake and Peninsula Borough",1416,2164
"88",2,"170","Alaska","Matanuska-Susitna Borough",110686,2170
"89",2,"180","Alaska","Nome Census Area",9865,2180
"90",2,"185","Alaska","North Slope Borough",10972,2185
"91",2,"188","Alaska","Northwest Arctic Borough",7560,2188
"92",2,"195","Alaska","Petersburg Borough",3356,2195
"93",2,"198","Alaska","Prince of Wales-Hyder Census Area",5729,2198
"94",2,"220","Alaska","Sitka City and Borough",8407,2220
"95",2,"230","Alaska","Skagway Municipality",1132,2230
"96",2,"240","Alaska","Southeast Fairbanks Census Area",6970,2240
"97",2,"275","Alaska","Wrangell City and Borough",2055,2275
"98",2,"282","Alaska","Yakutat City and Borough",704,2282
"99",2,"290","Alaska","Yukon-Koyukuk Census Area",5275,2290
"100",4,"000","Arizona","Arizona",7276316,4000
"101",4,"001","Arizona","Apache County",65623,4001
"102",4,"003","Arizona","Cochise County",126050,4003
"103",4,"005","Arizona","Coconino County",145052,4005
"104",4,"007","Arizona","Gila County",53589,4007
"105",4,"009","Arizona","Graham County",39050,4009
"106",4,"011","Arizona","Greenlee County",9404,4011
"107",4,"012","Arizona","La Paz County",16408,4012
"108",4,"013","Arizona","Maricopa County",4496588,4013
"109",4,"015","Arizona","Mohave County",217692,4015
"110",4,"017","Arizona","Navajo County",108147,4017
"111",4,"019","Arizona","Pima County",1052030,4019
"112",4,"021","Arizona","Pinal County",449557,4021
"113",4,"023","Arizona","Santa Cruz County",47883,4023
"114",4,"025","Arizona","Yavapai County",242253,4025
"115",4,"027","Arizona","Yuma County",206990,4027
"116",5,"000","Arkansas","Arkansas",3025891,5000
"117",5,"001","Arkansas","Arkansas County",16722,5001
"118",5,"003","Arkansas","Ashley County",18674,5003
"119",5,"005","Arkansas","Baxter County",42144,5005
"120",5,"007","Arkansas","Benton County",293692,5007
"121",5,"009","Arkansas","Boone County",37830,5009
"122",5,"011","Arkansas","Bradley County",10408,5011
"123",5,"013","Arkansas","Calhoun County",4741,5013
"124",5,"015","Arkansas","Carroll County",28435,5015
"125",5,"017","Arkansas","Chicot County",10019,5017
"126",5,"019","Arkansas","Clark County",21321,5019
"127",5,"021","Arkansas","Clay County",14350,5021
"128",5,"023","Arkansas","Cleburne County",25015,5023
"129",5,"025","Arkansas","Cleveland County",7514,5025
"130",5,"027","Arkansas","Columbia County",22672,5027
"131",5,"029","Arkansas","Conway County",20873,5029
"132",5,"031","Arkansas","Craighead County",112218,5031
"133",5,"033","Arkansas","Crawford County",60378,5033
"134",5,"035","Arkansas","Crittenden County",47525,5035
"135",5,"037","Arkansas","Cross County",16681,5037
"136",5,"039","Arkansas","Dallas County",6308,5039
"137",5,"041","Arkansas","Desha County",11090,5041
"138",5,"043","Arkansas","Drew County",17110,5043
"139",5,"045","Arkansas","Faulkner County",125106,5045
"140",5,"047","Arkansas","Franklin County",17173,5047
"141",5,"049","Arkansas","Fulton County",12145,5049
"142",5,"051","Arkansas","Garland County",100330,5051
"143",5,"053","Arkansas","Grant County",18090,5053
"144",5,"055","Arkansas","Greene County",46317,5055
"145",5,"057","Arkansas","Hempstead County",19694,5057
"146",5,"059","Arkansas","Hot Spring County",33148,5059
"147",5,"061","Arkansas","Howard County",12698,5061
"148",5,"063","Arkansas","Independence County",37723,5063
"149",5,"065","Arkansas","Izard County",13911,5065
"150",5,"067","Arkansas","Jackson County",16811,5067
"151",5,"069","Arkansas","Jefferson County",65861,5069
"152",5,"071","Arkansas","Johnson County",25845,5071
"153",5,"073","Arkansas","Lafayette County",6163,5073
"154",5,"075","Arkansas","Lawrence County",16292,5075
"155",5,"077","Arkansas","Lee County",8619,5077
"156",5,"079","Arkansas","Lincoln County",13037,5079
"157",5,"081","Arkansas","Little River County",11944,5081
"158",5,"083","Arkansas","Logan County",21215,5083
"159",5,"085","Arkansas","Lonoke County",74722,5085
"160",5,"087","Arkansas","Madison County",16960,5087
"161",5,"089","Arkansas","Marion County",16978,5089
"162",5,"091","Arkansas","Miller County",42649,5091
"163",5,"093","Arkansas","Mississippi County",39661,5093
"164",5,"095","Arkansas","Monroe County",6683,5095
"165",5,"097","Arkansas","Montgomery County",8611,5097
"166",5,"099","Arkansas","Nevada County",8187,5099
"167",5,"101","Arkansas","Newton County",7204,5101
"168",5,"103","Arkansas","Ouachita County",22306,5103
"169",5,"105","Arkansas","Perry County",9964,5105
"170",5,"107","Arkansas","Phillips County",15906,5107
"171",5,"109","Arkansas","Pike County",10066,5109
"172",5,"111","Arkansas","Poinsett County",22660,5111
"173",5,"113","Arkansas","Polk County",19353,5113
"174",5,"115","Arkansas","Pope County",63789,5115
"175",5,"117","Arkansas","Prairie County",8135,5117
"176",5,"119","Arkansas","Pulaski County",397821,5119
"177",5,"121","Arkansas","Randolph County",18865,5121
"178",5,"123","Arkansas","St. Francis County",22739,5123
"179",5,"125","Arkansas","Saline County",125233,5125
"180",5,"127","Arkansas","Scott County",9822,5127
"181",5,"129","Arkansas","Searcy County",7880,5129
"182",5,"131","Arkansas","Sebastian County",128400,5131
"183",5,"133","Arkansas","Sevier County",15783,5133
"184",5,"135","Arkansas","Sharp County",17622,5135
"185",5,"137","Arkansas","Stone County",12481,5137
"186",5,"139","Arkansas","Union County",38340,5139
"187",5,"141","Arkansas","Van Buren County",15694,5141
"188",5,"143","Arkansas","Washington County",250057,5143
"189",5,"145","Arkansas","White County",77207,5145
"190",5,"147","Arkansas","Woodruff County",6116,5147
"191",5,"149","Arkansas","Yell County",20155,5149
"192",6,"000","California","California",39237836,6000
"193",6,"001","California","Alameda County",1648556,6001
"194",6,"003","California","Alpine County",1235,6003
"195",6,"005","California","Amador County",41259,6005
"196",6,"007","California","Butte County",208309,6007
"197",6,"009","California","Calaveras County",46221,6009
"198",6,"011","California","Colusa County",21917,6011
"199",6,"013","California","Contra Costa County",1161413,6013
"200",6,"015","California","Del Norte County",28100,6015
"201",6,"017","California","El Dorado County",193221,6017
"202",6,"019","California","Fresno County",1013581,6019
"203",6,"021","California","Glenn County",28805,6021
"204",6,"023","California","Humboldt County",136310,6023
"205",6,"025","California","Imperial County",179851,6025
"206",6,"027","California","Inyo County",18970,6027
"207",6,"029","California","Kern County",917673,6029
"208",6,"031","California","Kings County",153443,6031
"209",6,"033","California","Lake County",68766,6033
"210",6,"035","California","Lassen County",33159,6035
"211",6,"037","California","Los Angeles County",9829544,6037
"212",6,"039","California","Madera County",159410,6039
"213",6,"041","California","Marin County",260206,6041
"214",6,"043","California","Mariposa County",17147,6043
"215",6,"045","California","Mendocino County",91305,6045
"216",6,"047","California","Merced County",286461,6047
"217",6,"049","California","Modoc County",8661,6049
"218",6,"051","California","Mono County",13247,6051
"219",6,"053","California","Monterey County",437325,6053
"220",6,"055","California","Napa County",136207,6055
"221",6,"057","California","Nevada County",103487,6057
"222",6,"059","California","Orange County",3167809,6059
"223",6,"061","California","Placer County",412300,6061
"224",6,"063","California","Plumas County",19915,6063
"225",6,"065","California","Riverside County",2458395,6065
"226",6,"067","California","Sacramento County",1588921,6067
"227",6,"069","California","San Benito County",66677,6069
"228",6,"071","California","San Bernardino County",2194710,6071
"229",6,"073","California","San Diego County",3286069,6073
"230",6,"075","California","San Francisco County",815201,6075
"231",6,"077","California","San Joaquin County",789410,6077
"232",6,"079","California","San Luis Obispo County",283159,6079
"233",6,"081","California","San Mateo County",737888,6081
"234",6,"083","California","Santa Barbara County",446475,6083
"235",6,"085","California","Santa Clara County",1885508,6085
"236",6,"087","California","Santa Cruz County",267792,6087
"237",6,"089","California","Shasta County",182139,6089
"238",6,"091","California","Sierra County",3283,6091
"239",6,"093","California","Siskiyou County",44118,6093
"240",6,"095","California","Solano County",451716,6095
"241",6,"097","California","Sonoma County",485887,6097
"242",6,"099","California","Stanislaus County",552999,6099
"243",6,"101","California","Sutter County",99063,6101
"244",6,"103","California","Tehama County",65498,6103
"245",6,"105","California","Trinity County",16060,6105
"246",6,"107","California","Tulare County",477054,6107
"247",6,"109","California","Tuolumne County",55810,6109
"248",6,"111","California","Ventura County",839784,6111
"249",6,"113","California","Yolo County",216986,6113
"250",6,"115","California","Yuba County",83421,6115
"251",8,"000","Colorado","Colorado",5812069,8000
"252",8,"001","Colorado","Adams County",522140,8001
"253",8,"003","Colorado","Alamosa County",16547,8003
"254",8,"005","Colorado","Arapahoe County",654900,8005
"255",8,"007","Colorado","Archuleta County",13790,8007
"256",8,"009","Colorado","Baca County",3514,8009
"257",8,"011","Colorado","Bent County",5759,8011
"258",8,"013","Colorado","Boulder County",329543,8013
"259",8,"014","Colorado","Broomfield County",75325,8014
"260",8,"015","Colorado","Chaffee County",20074,8015
"261",8,"017","Colorado","Cheyenne County",1707,8017
"262",8,"019","Colorado","Clear Creek County",9446,8019
"263",8,"021","Colorado","Conejos County",7612,8021
"264",8,"023","Colorado","Costilla County",3625,8023
"265",8,"025","Colorado","Crowley County",6012,8025
"266",8,"027","Colorado","Custer County",5045,8027
"267",8,"029","Colorado","Delta County",31661,8029
"268",8,"031","Colorado","Denver County",711463,8031
"269",8,"033","Colorado","Dolores County",2397,8033
"270",8,"035","Colorado","Douglas County",368990,8035
"271",8,"037","Colorado","Eagle County",55727,8037
"272",8,"039","Colorado","Elbert County",27128,8039
"273",8,"041","Colorado","El Paso County",737867,8041
"274",8,"043","Colorado","Fremont County",49661,8043
"275",8,"045","Colorado","Garfield County",62161,8045
"276",8,"047","Colorado","Gilpin County",5873,8047
"277",8,"049","Colorado","Grand County",15860,8049
"278",8,"051","Colorado","Gunnison County",17281,8051
