"","V2","V10","V51","V106","V140","V147","V186"
"1",12,2,1,2,7,1,3
"2",12,2,1,3,4,1,2
"3",12,2,1,4,6,1,4
"4",12,2,2,2,8,1,4
"5",12,1,1,2,6,1,4
"6",12,2,4,2,4,1,3
"7",12,2,1,2,8,1,2
"8",12,2,2,2,6,1,3
"9",12,2,1,3,9,1,4
"10",12,1,3,3,5,1,NA
"11",12,2,1,3,4,1,4
"12",12,1,3,3,7,1,3
"13",12,2,2,3,7,1,3
"14",12,2,1,3,7,1,4
"15",12,2,2,4,6,1,3
"16",12,2,2,3,4,1,3
"17",12,2,2,3,7,1,4
"18",12,2,1,4,8,1,2
"19",12,2,2,2,8,1,4
"20",12,2,3,4,4,1,4
"21",12,1,4,NA,10,1,1
"22",12,3,1,1,10,2,1
"23",12,2,1,4,10,1,1
"24",12,4,4,4,10,1,1
"25",12,1,4,4,10,1,1
"26",12,2,2,4,10,1,1
"27",12,2,4,1,10,NA,1
"28",12,1,1,4,10,NA,1
"29",12,2,1,4,10,1,1
"30",12,2,1,4,5,1,NA
"31",12,2,1,4,10,NA,2
"32",12,2,1,4,10,1,1
"33",12,1,1,3,10,NA,1
"34",12,2,2,4,9,1,1
"35",12,2,1,4,9,1,2
"36",12,1,2,1,10,1,1
"37",12,2,2,4,9,1,1
"38",12,2,1,4,10,1,NA
"39",12,2,1,4,10,1,NA
"40",12,2,1,4,10,NA,4
"41",12,2,1,2,10,1,1
"42",12,2,2,NA,9,1,3
"43",12,2,1,NA,10,1,1
"44",12,2,1,3,6,2,2
"45",12,1,1,4,1,1,NA
"46",12,2,2,3,10,2,3
"47",12,2,1,3,10,1,1
"48",12,2,1,3,10,1,1
"49",12,2,1,4,9,2,4
"50",12,2,2,4,8,1,2
"51",12,2,3,3,10,1,1
"52",12,2,NA,2,10,NA,3
"53",12,3,1,4,10,1,1
"54",12,2,1,3,7,1,1
"55",12,3,1,4,9,1,1
"56",12,3,1,3,7,1,1
"57",12,3,1,3,10,1,1
"58",12,3,1,4,10,1,1
"59",12,2,2,4,7,1,1
"60",12,2,1,2,NA,1,NA
"61",12,2,2,NA,10,1,1
"62",12,1,3,3,NA,1,1
"63",12,2,3,3,3,1,1
"64",12,2,1,3,10,1,1
"65",12,2,3,3,9,1,3
"66",12,1,1,NA,NA,1,1
"67",12,1,1,4,8,1,1
"68",12,2,4,NA,10,1,1
"69",12,1,1,4,6,1,2
"70",12,3,1,4,NA,1,NA
"71",12,2,3,4,10,2,1
"72",12,3,4,4,10,1,NA
"73",12,NA,1,4,5,NA,1
"74",12,3,4,4,10,1,NA
"75",12,2,1,4,10,1,1
"76",12,2,3,4,10,2,1
"77",12,2,3,4,10,2,1
"78",12,2,1,4,1,2,NA
"79",12,NA,NA,4,NA,1,NA
"80",12,2,1,4,1,2,NA
"81",12,2,3,4,10,2,1
"82",12,2,3,4,9,2,1
"83",12,2,4,4,6,1,1
"84",12,2,4,4,10,2,1
"85",12,2,3,4,10,2,1
"86",12,2,3,4,10,2,1
"87",12,2,1,4,10,1,1
"88",12,2,3,4,10,2,1
"89",12,NA,NA,4,NA,NA,1
"90",12,2,1,4,1,2,NA
"91",12,NA,4,3,10,1,1
"92",12,NA,4,4,10,1,1
"93",12,NA,1,4,5,NA,1
"94",12,2,4,4,6,1,1
"95",12,2,1,4,10,1,1
"96",12,2,3,4,10,2,1
"97",12,2,3,4,10,2,1
"98",12,2,1,4,1,2,NA
"99",12,NA,NA,4,NA,1,NA
"100",12,2,1,4,1,2,NA
"101",12,2,3,4,10,2,1
"102",12,2,3,4,10,2,1
"103",12,2,3,4,10,2,1
"104",12,2,1,4,10,2,1
"105",12,NA,1,4,5,NA,1
"106",12,NA,1,4,5,NA,1
"107",12,2,4,4,6,1,1
"108",12,2,4,4,6,1,1
"109",12,NA,1,4,5,NA,1
"110",12,2,4,3,6,1,1
"111",12,2,3,4,10,2,1
"112",12,NA,1,4,5,NA,1
"113",12,2,4,4,6,1,1
"114",12,2,3,3,10,2,1
"115",12,NA,NA,4,NA,NA,NA
"116",12,2,1,4,10,1,1
"117",12,NA,NA,4,NA,NA,NA
"118",12,2,1,4,1,2,NA
"119",12,2,3,4,10,2,1
"120",12,2,3,4,10,2,1
"121",12,2,3,4,10,2,1
"122",12,2,3,4,9,2,1
"123",12,3,4,4,10,1,NA
"124",12,2,NA,4,10,2,1
"125",12,2,3,4,9,2,1
"126",12,NA,1,4,5,NA,1
"127",12,2,3,4,10,2,1
"128",12,2,1,4,10,1,1
"129",12,NA,NA,4,NA,NA,NA
"130",12,NA,NA,4,NA,1,NA
"131",12,3,1,3,8,1,3
"132",12,NA,1,3,7,1,NA
"133",12,2,1,2,4,1,4
"134",12,NA,1,3,7,1,NA
"135",12,2,2,3,9,1,4
"136",12,3,1,3,5,1,4
"137",12,2,1,3,2,1,4
"138",12,2,1,3,7,1,4
"139",12,NA,1,4,8,1,4
"140",12,NA,1,4,NA,1,4
"141",12,2,1,3,9,1,NA
"142",12,2,1,3,7,1,3
"143",12,3,2,3,7,1,4
"144",12,2,3,4,7,1,NA
"145",12,3,1,NA,4,1,4
"146",12,2,2,3,10,1,4
"147",12,2,1,4,9,1,4
"148",12,4,1,3,2,1,NA
"149",12,3,2,NA,NA,1,NA
"150",12,2,1,4,7,1,4
"151",12,3,1,4,6,1,3
"152",12,2,1,3,8,2,1
"153",12,3,2,2,8,2,1
"154",12,2,1,4,8,2,1
"155",12,1,1,4,10,1,NA
"156",12,3,3,3,6,2,1
"157",12,2,1,3,10,1,1
"158",12,2,1,2,7,2,1
"159",12,2,1,3,8,2,2
"160",12,1,1,4,10,1,4
"161",12,2,1,2,10,1,1
"162",12,2,1,4,10,1,1
"163",12,2,1,4,NA,1,4
"164",12,2,1,4,10,1,4
"165",12,3,1,NA,10,NA,4
"166",12,2,1,4,10,1,3
"167",12,2,2,4,7,1,2
"168",12,1,1,4,10,1,3
"169",12,2,2,3,10,2,2
"170",12,4,1,4,10,1,NA
"171",12,1,2,4,9,1,2
"172",12,1,2,4,10,1,2
"173",12,1,2,NA,9,1,4
"174",12,2,4,4,9,NA,1
"175",12,2,2,NA,9,1,2
"176",12,2,1,NA,10,1,4
"177",12,2,3,1,10,1,1
"178",12,1,2,4,9,1,4
"179",12,3,2,3,10,1,1
"180",12,2,1,3,10,1,NA
"181",12,2,1,3,8,NA,1
"182",12,2,4,3,8,NA,4
"183",12,1,1,1,10,NA,1
"184",12,2,4,4,10,NA,1
"185",12,1,2,4,7,1,1
"186",12,1,3,1,10,1,1
"187",12,1,1,4,10,1,NA
"188",12,1,1,1,7,NA,1
"189",12,1,4,4,10,1,1
"190",12,2,2,3,8,1,1
"191",12,2,1,4,9,1,1
"192",12,2,2,4,8,1,1
"193",12,4,1,4,10,3,1
"194",12,2,2,4,10,1,1
"195",12,2,1,NA,10,1,1
"196",12,2,1,4,10,1,1
"197",12,1,2,3,5,1,1
"198",12,2,1,4,NA,1,2
"199",12,2,NA,4,NA,1,1
"200",12,1,1,3,10,1,NA
"201",12,2,2,NA,5,1,1
"202",12,2,1,NA,10,1,1
"203",12,2,1,3,2,1,2
"204",12,1,NA,NA,8,1,3
"205",12,2,1,NA,8,1,4
"206",12,1,2,3,6,1,NA
"207",12,1,1,2,10,1,1
"208",12,2,1,4,10,1,1
"209",12,1,NA,4,7,1,4
"210",12,2,1,4,8,1,4
"211",12,2,2,4,7,1,3
